注文ID,注文日,区分,都道府県,商品カテゴリ,商品,SKU,数量,単価,金額,顧客区分,販売チャネル,決済方法,配送状況,担当者,税区分,クーポン,送料,注文時刻,備考
ORD-2026-0001,2026-08-01,東京店,東京都,食品,ドリップコーヒー,FD-101,1,1200,1200,法人,店頭,カード,発送済,佐藤,8%,,0,09:00,再注文
ORD-2026-0002,2026-08-02,大阪店,大阪府,食品,紅茶,FD-103,2,950,1900,法人,電話,現金,発送済,田中,10%,AUTUMN,500,10:07,午前中希望
ORD-2026-0003,2026-08-03,札幌店,北海道,文具,ペンセット,ST-202,3,700,2100,個人,店頭,現金,準備中,佐藤,10%,WELCOME,300,11:14,再注文
ORD-2026-0004,2026-08-04,東京店,東京都,食品,紅茶,FD-103,3,950,2850,法人,店頭,カード,準備中,佐藤,8%,,300,12:21,午前中希望
ORD-2026-0005,2026-08-05,大阪店,大阪府,生活雑貨,タオル,HM-302,1,1100,1100,法人,電話,銀行振込,準備中,田中,10%,WELCOME,500,13:28,午前中希望
ORD-2026-0006,2026-08-06,札幌店,北海道,生活雑貨,マグカップ,HM-301,4,1600,6400,法人,EC,銀行振込,準備中,田中,10%,AUTUMN,0,14:35,
ORD-2026-0007,2026-08-07,東京店,東京都,文具,ペンセット,ST-202,2,700,1400,法人,店頭,銀行振込,配達済,鈴木,8%,WELCOME,0,15:42,
ORD-2026-0008,2026-08-08,大阪店,大阪府,生活雑貨,タオル,HM-302,1,1100,1100,法人,EC,現金,配達済,鈴木,10%,AUTUMN,500,16:49,午前中希望
ORD-2026-0009,2026-08-09,札幌店,北海道,文具,ノート,ST-201,4,550,2200,個人,EC,カード,準備中,鈴木,8%,AUTUMN,500,09:56,午前中希望
ORD-2026-0010,2026-08-10,東京店,東京都,文具,ノート,ST-201,1,550,550,法人,店頭,銀行振込,準備中,田中,8%,WELCOME,500,10:03,ギフト包装
ORD-2026-0011,2026-08-11,大阪店,大阪府,生活雑貨,タオル,HM-302,1,1100,1100,個人,電話,現金,準備中,佐藤,10%,AUTUMN,500,11:10,午前中希望
ORD-2026-0012,2026-08-12,札幌店,北海道,食品,クッキー,FD-102,3,800,2400,法人,EC,現金,配達済,鈴木,10%,,300,12:17,再注文
